time(ms),angle_x(deg),angle_y(deg),angle_z(deg),acc_x(g),acc_y(g),acc_z(g),motor_pos
11571,-0.78,-3.79,-122.86,-0.0135,-0.0661,-0.997,1200000
11635,-0.78,-3.79,-122.86,-0.0135,-0.0661,-0.9965,1200000
11699,-0.78,-3.79,-122.86,-0.0134,-0.066,-0.9959,1200000
11762,-0.77,-3.79,-122.86,-0.0134,-0.0661,-0.9962,1200000
11826,-0.77,-3.79,-122.86,-0.0135,-0.0661,-0.9964,1200001
11890,-0.77,-3.79,-122.86,-0.0135,-0.066,-0.9964,1200000
11954,-0.77,-3.79,-122.86,-0.0134,-0.066,-0.9966,1200000
12018,-0.77,-3.79,-122.86,-0.0136,-0.0661,-0.9967,1200000
12082,-0.77,-3.79,-122.86,-0.0136,-0.0661,-0.9965,1200000
12146,-0.77,-3.79,-122.86,-0.0136,-0.066,-0.9965,1200000
12210,-0.78,-3.79,-122.86,-0.0137,-0.066,-0.9972,1200000
12274,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9975,1200000
12338,-0.78,-3.79,-122.86,-0.0136,-0.066,-0.9968,1200000
12402,-0.78,-3.79,-122.86,-0.0137,-0.066,-0.9963,1199999
12466,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9964,1200000
12530,-0.78,-3.79,-122.86,-0.0137,-0.066,-0.9965,1200000
12594,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9962,1200000
12657,-0.78,-3.79,-122.86,-0.0135,-0.0661,-0.996,1200000
12721,-0.78,-3.79,-122.86,-0.0137,-0.066,-0.9964,1200000
12785,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9963,1200000
12849,-0.78,-3.79,-122.86,-0.0134,-0.0661,-0.9962,1200000
12913,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9964,1200000
12977,-0.78,-3.79,-122.86,-0.0139,-0.0661,-0.9965,1200000
13041,-0.78,-3.79,-122.86,-0.0139,-0.066,-0.9964,1200000
13105,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9963,1200000
13169,-0.78,-3.79,-122.86,-0.0136,-0.0661,-0.9966,1200000
13233,-0.78,-3.79,-122.86,-0.0138,-0.0661,-0.9963,1200000
13296,-0.79,-3.79,-122.86,-0.0138,-0.0661,-0.9962,1200000
